,PIB
2001Q1,70060.6
2001Q2,66509.1
2001Q3,66314.4
2001Q4,71106.3
2002Q1,72155.3
2002Q2,69896.2
2002Q3,70306.1
2002Q4,73264.1
2003Q1,75441.3
2003Q2,71542.1
2003Q3,71890.5
2003Q4,74221.7
2004Q1,76687.7
2004Q2,73508.5
2004Q3,74000.4
2004Q4,77600.2
2005Q1,79264
2005Q2,77149.5
2005Q3,75770.3
2005Q4,78863.6
2006Q1,83160
2006Q2,79399.4
2006Q3,80781.3
2006Q4,85047.2
2007Q1,88341.8
2007Q2,85226.5
2007Q3,85488.2
2007Q4,89195
2008Q1,90929.6
2008Q2,90145.1
2008Q3,88192.3
2008Q4,91738.9
2009Q1,90819.8
2009Q2,89285.9
2009Q3,89414.1
2009Q4,93767.9
2010Q1,93561.1
2010Q2,92080.5
2010Q3,91027.2
2010Q4,96812
2011Q1,97288.7
2011Q2,96227
2011Q3,96247.7
2011Q4,100318.9
2012Q1,101001.4
2012Q2,98806.4
2012Q3,98662.2
2012Q4,103889.3
2013Q1,103959.6367
2013Q2,103201.621
2013Q3,102372.0072
2013Q4,106849.9553
2014Q1,108290.2691
2014Q2,107650.0868
2014Q3,106782.4864
2014Q4,112164.3561
2015Q1,113346.8342
2015Q2,111017.4137
2015Q3,112034.6023
2015Q4,116284.6747
2016Q1,115246.8589
2016Q2,115127.0217
2016Q3,114353.3204
2016Q4,120078.2956
2017Q1,120680.7347
2017Q2,117990.2956
2017Q3,117906.0572
2017Q4,122543.7273
2018Q1,123908.6085
2018Q2,123025.7309
2018Q3,122032.6257
2018Q4,126476.8896
2019Q1,128550.6662
2019Q2,127678.4562
2019Q3,126967.556
2019Q4,132153.6046
2020Q1,129527.3681
2020Q2,116168.087
2020Q3,125203.4804
2020Q4,135217.0039
2021Q1,135325.3813
2021Q2,134055.3891
2021Q3,135444.9122
2021Q4,141791.7194
2022Q1,141773.8583
2022Q2,140029.7546
2022Q3,140565.2625
2022Q4,146758.2536
2023Q1,147074.798
2023Q2,145415.3979
