,y_star
2001Q1,14183.1
2001Q2,14271.7
2001Q3,14214.5
2001Q4,14253.6
2002Q1,14372.8
2002Q2,14460.8
2002Q3,14519.6
2002Q4,14537.6
2003Q1,14614.1
2003Q2,14743.6
2003Q3,14988.8
2003Q4,15162.8
2004Q1,15248.7
2004Q2,15366.9
2004Q3,15512.6
2004Q4,15670.9
2005Q1,15844.7
2005Q2,15922.8
2005Q3,16047.6
2005Q4,16136.7
2006Q1,16353.8
2006Q2,16396.2
2006Q3,16420.7
2006Q4,16561.9
2007Q1,16611.7
2007Q2,16713.3
2007Q3,16809.6
2007Q4,16915.2
2008Q1,16843
2008Q2,16943.3
2008Q3,16854.3
2008Q4,16485.4
2009Q1,16298.3
2009Q2,16269.1
2009Q3,16326.3
2009Q4,16502.8
2010Q1,16582.7
2010Q2,16743.2
2010Q3,16872.3
2010Q4,16960.9
2011Q1,16920.6
2011Q2,17035.1
2011Q3,17031.3
2011Q4,17222.6
2012Q1,17367
2012Q2,17444.5
2012Q3,17469.7
2012Q4,17489.9
2013Q1,17662.4
2013Q2,17709.7
2013Q3,17860.5
2013Q4,18016.1
2014Q1,17954
2014Q2,18185.9
2014Q3,18406.9
2014Q4,18500
2015Q1,18666.6
2015Q2,18782.2
2015Q3,18857.4
2015Q4,18892.2
2016Q1,19001.7
2016Q2,19062.7
2016Q3,19197.9
2016Q4,19304.4
2017Q1,19398.3
2017Q2,19506.9
2017Q3,19660.8
2017Q4,19882.4
2018Q1,20044.1
2018Q2,20150.5
2018Q3,20276.2
2018Q4,20304.9
2019Q1,20415.2
2019Q2,20584.5
2019Q3,20817.6
2019Q4,20951.1
2020Q1,20665.6
2020Q2,19034.8
2020Q3,20511.8
2020Q4,20724.1
2021Q1,20990.5
2021Q2,21309.5
2021Q3,21483.1
2021Q4,21847.6
2022Q1,21738.9
2022Q2,21708.16
2022Q3,21851.134
2022Q4,21989.981
2023Q1,22112.329
2023Q2,22225.35
2023Q3,22491.567
