,y_qq,y_star_qq
2001Q1,70060.6,14183.1
2001Q2,66509.1,14271.7
2001Q3,66314.4,14214.5
2001Q4,71106.3,14253.6
2002Q1,72155.3,14372.8
2002Q2,69896.2,14460.8
2002Q3,70306.1,14519.6
2002Q4,73264.1,14537.6
2003Q1,75441.3,14614.1
2003Q2,71542.1,14743.6
2003Q3,71890.5,14988.8
2003Q4,74221.7,15162.8
2004Q1,76687.7,15248.7
2004Q2,73508.5,15366.9
2004Q3,74000.4,15512.6
2004Q4,77600.2,15670.9
2005Q1,79264,15844.7
2005Q2,77149.5,15922.8
2005Q3,75770.3,16047.6
2005Q4,78863.6,16136.7
2006Q1,83160,16353.8
2006Q2,79399.4,16396.2
2006Q3,80781.3,16420.7
2006Q4,85047.2,16561.9
2007Q1,88341.8,16611.7
2007Q2,85226.5,16713.3
2007Q3,85488.2,16809.6
2007Q4,89195,16915.2
2008Q1,90929.6,16843
2008Q2,90145.1,16943.3
2008Q3,88192.3,16854.3
2008Q4,91738.9,16485.4
2009Q1,90819.8,16298.3
2009Q2,89285.9,16269.1
2009Q3,89414.1,16326.3
2009Q4,93767.9,16502.8
2010Q1,93561.1,16582.7
2010Q2,92080.5,16743.2
2010Q3,91027.2,16872.3
2010Q4,96812,16960.9
2011Q1,97288.7,16920.6
2011Q2,96227,17035.1
2011Q3,96247.7,17031.3
2011Q4,100318.9,17222.6
2012Q1,101001.4,17367
2012Q2,98806.4,17444.5
2012Q3,98662.2,17469.7
2012Q4,103889.3,17489.9
2013Q1,103959.6367,17662.4
2013Q2,103201.621,17709.7
2013Q3,102372.0072,17860.5
2013Q4,106849.9553,18016.1
2014Q1,108290.2691,17954
2014Q2,107650.0868,18185.9
2014Q3,106782.4864,18406.9
2014Q4,112164.3561,18500
2015Q1,113346.8342,18666.6
2015Q2,111017.4137,18782.2
2015Q3,112034.6023,18857.4
2015Q4,116284.6747,18892.2
2016Q1,115246.8589,19001.7
2016Q2,115127.0217,19062.7
2016Q3,114353.3204,19197.9
2016Q4,120078.2956,19304.4
2017Q1,120680.7347,19398.3
2017Q2,117990.2956,19506.9
2017Q3,117906.0572,19660.8
2017Q4,122543.7273,19882.4
2018Q1,123908.6085,20044.1
2018Q2,123025.7309,20150.5
2018Q3,122032.6257,20276.2
2018Q4,126476.8896,20304.9
2019Q1,128550.6662,20415.2
2019Q2,127678.4562,20584.5
2019Q3,126967.556,20817.6
2019Q4,132153.6046,20951.1
2020Q1,129527.3681,20665.6
2020Q2,116168.087,19034.8
2020Q3,125203.4804,20511.8
2020Q4,135217.0039,20724.1
2021Q1,135325.3813,20990.5
2021Q2,134055.3891,21309.5
2021Q3,135444.9122,21483.1
2021Q4,141791.7194,21847.6
2022Q1,141773.8583,21738.9
2022Q2,140029.7546,21708.16
2022Q3,140565.2625,21851.134
2022Q4,146758.2536,21989.981
2023Q1,147074.798,22112.329
2023Q2,145415.3979,22225.35
2023Q3,,22491.567
